reviewInfluenceScore,gameName,reviewLength,wordCount,votesUp,votesFunny,commentCount,playtimeAtReview,isVaderEligible,hasCredibleText,snippet
0.9546424,Tetris Ultimate,0,1,229,77,24,1548,false,false,http://store.steampowered.com/app/546050/Puyo_PuyoTetris/
0.9271644,Titan Quest: Immortal Throne,0,1,141,288,7,37211,false,false,Чет не затягивает
0.9264225,My Friend Peppa Pig,0,1,2507,921,56,309,false,false,"⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⠛⠛⠛⠋⠉⠈⠉⠉⠉⠉⠛⠻⢿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⡿⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠛⢿⣿⣿⣿⣿
⣿⣿⣿⣿⡏⣀⠀⠀⠀⠀⠀⠀⠀⣀⣤⣤⣤⣄⡀⠀⠀⠀⠀⠀⠀⠀⠙⢿⣿⣿
⣿⣿⣿⢏⣴⣿⣷⠀⠀⠀⠀⠀⢾⣿⣿⣿⣿⣿⣿⡆⠀⠀⠀⠀⠀⠀⠀"
0.9043189,The Sims 4: Nifty Knitting Stuff,442,83,165,234,10,0,true,true,"This addon pack for Sims 4 is all about adding METAL to music choices. You can ""MAKE METAL QUIETER FOR SOME REASON?"" or "
0.8938202,Ristar,0,1,53,15,4,24,false,false,­
0.89238065,Big Money!,1137,226,128,61,9,60580,true,true,"This. Freakin. Game. This game is a masterpiece, easily the best game of 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009,"
0.8916393,Spirit Valor,2119,369,8,1,1,1092,true,true,"Kemco...this is now my 50+ game from this publisher.
Spirit Valor by Exe Create Inc.
Like almost all Exe games, this one"
0.8898554,Tex Murphy: Mean Streets,3840,701,134,7,8,1556,true,true,Mean Streets is an open world game set in the far off future of 2033 complete with flying cars that have wireless fax ma
0.8883647,Front Mission 1st: Remake,3708,667,429,16,63,4456,true,true,"This is one of my Top 5 Favorite Games of ALL-Time.

[b]Should you [i]Play[/i] FRONT MISSION?[/b] [i]By All Means[/i]

["
0.8857774,The Infectious Madness of Doctor Dekker,1977,373,145,69,28,1705,true,true,I'd like to start off this review by saying I played this game for 28.4 hours. I know it says that on this review alread
