gameName,hours_at_review,hours_total,votesUp,votesFunny,votedUp,sentimentLabel,snippet
Star Trek Online,93407.1,94155.3,3,2,true,Positive,"Patrick Stewart: ""Make It So."" I've seen everything anyway. And I get on my bike and I ride off. On the grass. 
Sums up the game quite nicely. Best game ever."
Sid Meier's Civilization V,90980.2,99896.9,2,0,false,Negative,game will not play on computer even though i have  owned and played this game for years. tired getting help from Steam but won't help
Sid Meier's Civilization IV,81336.3,115877.6,0,0,true,Positive,Pretty good.
Idling to Rule the Gods,81015.5,84229.9,0,0,true,Positive,best idle game around.
Team Fortress 2,79609.9,110459.5,1451,350,true,Neutral,"As the player who has logged more hours in TF2 than anyone else, I highly reccomend this game."
Sid Meier's Civilization V,79160.1,83960.2,1,0,true,Positive,"beware - addictive

by far the best Civ version out there"
Dungeon Fighter Online,79062.7,79062.7,1,0,false,Negative,"Veteran player with Black Diamond status, banned for no reason 3x in one week.

This game doesn't respect your time, it doesn't respect your money.


Don't play this game.
Don't play this game.
Don't play this game.
Don'"
Counter-Strike: Global Offensive,77419.4,83013.4,0,0,false,,!
Realm of the Mad God,76383.1,90093.4,38,107,true,Positive,Fun time
Nekopara Vol. 1,75696.9,95055.8,10,3,true,Negative,"Imagine getting your account hacked and losing all your friends you made to this meme of a game, along with every review, screenshot, and artwork also being deleted. Couldn't me be lol. Anyways here to remind you we gett"
Sid Meier's Civilization V,73911.2,75842.5,0,0,true,Positive,Favorite game of a lifetime
Secret of the Magic Crystals,73836.1,76763.6,8,8,true,Neutral,"Game of the year, every year."
Team Fortress 2,72571.0,84044.0,26,5,true,Positive,Best free FPS game with a twist.. and hats!
Idling to Rule the Gods,71149.4,73643.3,2,0,true,Positive,"The numbers go up faster than my playtime. 

In all seriousness, if you like idle games, this is one of the best out there. Years worth of content, still being updated, still idling."
Idling to Rule the Gods,70419.0,82145.4,2,0,true,Positive,"Very good incremental/idle game with lots of features introduced over time, just be aware you could be playing it for years and not reach ""the end"", whatever that is."
Black Desert,69983.9,71301.9,1,2,false,Negative,"The first 42,200 hours were confusing, but these last 99 have been a blast once I figured out you can move with WASD! 

Edit: I am now at 70k hours, and I have run out of content. They have begun time gating everything. "
Black Desert,69983.9,71295.0,1,2,false,Negative,"The first 42,200 hours were confusing, but these last 99 have been a blast once I figured out you can move with WASD! 

Edit: I am now at 70k hours, and I have run out of content. They have begun time gating everything. "
Sid Meier's Civilization V,68677.0,71320.6,0,0,true,Neutral,Conquer the world!
Black Desert,68524.7,68801.9,4,0,true,Positive,"Riddled with crappy RNG mechanics, pay for convenience items and mediocre ongoing balancing and development.
However, it's still one of a kind as a sandbox MMORPG. It's not everyone's cup of tea, therefore you'll either "
Black Desert,68524.7,68801.9,4,0,true,Positive,"Riddled with crappy RNG mechanics, pay for convenience items and mediocre ongoing balancing and development.
However, it's still one of a kind as a sandbox MMORPG. It's not everyone's cup of tea, therefore you'll either "
Black Desert,67568.2,70285.2,1,0,true,Positive,"You can love or you can hate it but you really need to give it a chance... personally i love it.

After almost 3 years i still love it, deep game that requires time but offers really a lot. Up

Update, still here and ano"
Black Desert,67568.2,70269.1,1,0,true,Positive,"You can love or you can hate it but you really need to give it a chance... personally i love it.

After almost 3 years i still love it, deep game that requires time but offers really a lot. Up

Update, still here and ano"
Clicker Heroes,67326.9,85512.1,14,8,true,Positive,click click click win win win
Idling to Rule the Gods,66666.0,66666.0,1,0,false,Positive,"I lost interest in the game, it's just not the same after the first 60k hours"
Idle Champions of the Forgotten Realms,66644.2,66644.2,0,0,false,Negative,"An endless stream of new characters you can add to your team and even a steady flow of new features. Now an endless stream of crashes and nerfs to purposefully designed mechanics. Fix your code.

Three years later? It's "
