themeName,ratedGames,reviewedGames,totalReviews,sentimentVoteAlignment,weightedSentimentRating,weightedVoteRating,pctNegativeSentiment,avgPlaytimeAtReviewHours
Horror,2506,1641,11107663,-9.23,80.4,89.65,17.82,13.67
Thriller,512,354,1965197,-8.21,80.76,88.99,17.72,11.54
Romance,452,328,930386,-6.49,86.97,93.45,11.92,17.59
Stealth,868,534,5478799,-6.45,80.92,87.38,16.94,19.61
Survival,1383,951,13140899,-6.26,81.48,87.76,16.53,29.84
Comedy,2908,1564,7551293,-6.11,84.18,90.27,13.48,15.26
Mystery,1258,986,2755412,-5.28,85.39,90.68,13.85,10.93
Drama,777,505,3122454,-5.22,84.39,89.6,14.16,20.43
Warfare,1276,656,10674359,-4.97,76.71,81.7,18.68,55.59
Action,17292,9155,55843793,-4.88,81.12,86.01,16.34,20.67
