gameName,pctRefunded,totalReviews,weightedSentimentRating,weightedVoteRating,sentimentVoteAlignment,steamRatingLabel,pctBugReports,pctEarlyAccess
Bodycam,7.17,23948,78.33,77.07,1.26,Mostly Positive,10.16,100.0
Atlas,3.82,22954,65.26,53.85,11.41,Mixed,24.14,100.0
Escape from Tarkov,3.57,10627,60.89,63.14,-2.25,Mixed,10.51,0.0
Gray Zone Warfare,3.42,46021,77.92,76.64,1.27,Mostly Positive,22.19,100.0
Battalion Legacy,3.24,10748,71.55,64.72,6.83,Mixed,9.88,37.04
Killing Floor III,3.05,10269,61.32,52.6,8.71,Mixed,22.05,0.0
Inzoi,2.97,13378,87.51,80.32,7.19,Mostly Positive,15.7,100.0
Miscreated,2.9,15265,71.25,68.7,2.55,Mixed,14.77,68.48
Just Survive,2.58,37607,62.97,59.17,3.79,Mixed,16.98,94.04
Hatred,2.58,11204,62.2,82.87,-20.67,Mostly Positive,4.86,0.0
