genreName,ratedGames,reviewedGames,totalReviews,sentimentReviews,weightedSentimentRating,weightedVoteRating,sentimentVoteAlignment,pctNegativeSentiment,avgPlaytimeAtReviewHours,pctRefunded,pctBugReports
Point-and-click,1277,896,1351194,1329232,87.81,91.81,-3.99,11.17,11.2,0.24,4.23
Puzzle,4730,2984,6776415,6653139,86.25,92.15,-5.88,12.82,11.59,0.3,4.65
Platform,4099,1960,6224777,6079305,86.0,92.13,-6.13,12.3,10.79,0.26,3.88
Visual Novel,808,638,1206460,1182257,85.41,93.23,-7.81,13.35,19.32,0.22,2.11
Card & Board Game,595,352,1254088,1232737,85.35,86.26,-0.91,13.17,34.64,0.29,3.82
Music,672,263,938134,909401,85.31,92.9,-7.58,12.14,14.43,0.23,2.12
Turn-based strategy (TBS),1215,739,2990982,2947907,84.09,87.81,-3.71,14.8,49.84,0.31,5.51
Indie,10040,9434,30415027,29759875,84.02,90.12,-6.09,14.37,16.68,0.4,4.82
Quiz/Trivia,201,61,92888,91451,83.68,81.34,2.37,14.94,32.57,0.3,6.46
Strategy,5634,3803,17025995,16655044,83.67,87.52,-3.82,14.44,39.61,0.35,5.42
